RESULT_COUNT: 30,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,NAME,LEI,CIK,LATEST_FILING_DATE
AAPL,Apple Inc,HWUPKR0MPOU8FGXBT394,0000320193,2019-01-30
AXP,American Express Co,R4PP93JZOLY261QX3811,0000004962,2019-02-13
BA,Boeing Co,RVHJWBXLJ1RFUBSY1F30,0000012927,2019-02-08
CAT,Caterpillar Inc,WRJR7GS4GTRECRRTVX92,0000018230,2019-02-14
CSCO,Cisco Systems Inc,8E6NF1YAL0WT6CWXXV93,0000858877,2019-02-19
CVX,Chevron Corp,,0000093410,2019-02-22
DIS,Walt Disney Co,7260JQNI6SCF9FIV2392,0001001039,2019-02-05
DWDP,DowDuPont Inc,,0001666700,2019-02-11
GE,General Electric Co,3C7474T6CDKPR9K6YT90,0000040545,2019-02-26
GS,Goldman Sachs Group Inc,,0000886982,2019-02-26
HD,Home Depot Inc,QEKMOTMBBKA8I816DO57,0000354950,2018-11-20
IBM,International Business Machines Corp,VGRQXHF3J8VDLUA7XE92,0000051143,2019-02-26
INTC,Intel Corp,KNX4USFCNGPY45LOCE31,0000050863,2019-02-01
JNJ,Johnson & Johnson,549300G0CFPGEF6X2043,0000200406,2019-02-20
JPM,JPMorgan Chase & Co,,0000019617,2019-02-26
KO,Coca-Cola Co,UWJKFUJFZ02DKWI3RY53,0000021344,2019-02-21
MCD,McDonald's Corp,UE2136O97NLB5BYP9H04,0000063908,2019-02-22
MMM,3M Co,LUZQVYP4VS22CLWDAR65,0000066740,2019-02-07
MRK,Merck & Co Inc,,0000310158,2019-02-27
MSFT,Microsoft Corp,INR2EJN1ERAN0W5ZP974,0000789019,2019-01-30
NKE,Nike Inc,787RXPR0UX0O0XUXPZ81,0000320187,2019-01-08
PFE,Pfizer Inc,765LHXWGK1KXCLTFYQ30,0000078003,2019-02-28
PG,Procter & Gamble Co,2572IBTT8CCZW6AU4141,0000080424,2019-01-23
TRV,Travelers Companies Inc,549300Y650407RU8B149,0000086312,2019-02-14
UNH,UnitedHealth Group Inc,549300GHBMY8T5GXDE41,0000731766,2019-02-12
UTX,United Technologies Corp,I07WOS4YJ0N7YRFE7309,0000101829,2019-02-07
V,Visa Inc,549300JZ4OKEHW3DPJ59,0001403161,2019-01-31
VZ,Verizon Communications Inc,2S72QS2UO2OESLG6Y829,0000732712,2019-02-15
WMT,Walmart Inc,Y87794H0US1R65VBXU25,0000104169,2018-11-30
XOM,Exxon Mobil Corp,J3WHBG0MTS7O8ZVMDC91,0000034088,2019-02-27
